1 Det 1783
1 Pron 1773
1 Punc 9137
1 Conj 1950
1 END 4997
1 Zero 2
1 Dup 11
1 Interj 75
1 Num 561
1 Adj 4565
1 START 4997
1 Postp 1020
1 Noun 17717
1 Ques 188
1 Adv 2673
1 Verb 6150
2 Adj Punc 507
2 Verb Conj 229
2 Adj Adv 427
2 Det Ques 1
2 Adv Num 9
2 Conj Conj 46
2 Verb Adv 548
2 Adv Pron 141
2 Num Adj 64
2 Det Postp 45
2 Num Postp 19
2 Postp Verb 57
2 Num START 98
2 Adj Det 124
2 Punc Dup 2
2 Verb Verb 164
2 Adv Interj 4
3 stokta Noun 1
3 mutluluğumuza Noun 1
3 belirten Adj 7
3 yazacak Adj 1
3 başbakan_gül'ün Noun 2
3 hayatımda Noun 2
3 beyoğlu'na Noun 1
3 bir_ara Noun 1
3 seven Adj 3
3 seçilmişti Verb 1
3 kahveyi Noun 1
3 sorulabilecek Adj 1
3 oturduğum Adj 2
3 siirt'teki Adj 1
3 i̇lçe Noun 1
3 harcanan Adj 1
3 kaptan_olduğunu Noun 1
3 çaya Noun 1
3 tutkunun Noun 1
3 ne Pron 112
3 buçuk Adj 1
3 mutsuz_olursun Verb 1
3 göğüsleri Noun 1
3 herkesin Noun 6
3 düşmüş Adj 1
3 salatası Noun 4
3 bilmedi Verb 1
3 atila Noun 2
3 konya_kültür_müdürü_necip_mutlu Noun 1
3 çalışıyordu Verb 2
3 mistisizme Noun 1
3 gecikme Noun 6
3 vuruyordu Verb 1
3 yönünün Noun 1
3 bendeki Adj 1
3 hastalıkları Noun 1
3 değişiyordu Verb 1
3 konmuş Adj 1
3 sözcük Noun 3
3 yazar Noun 3
3 kurum Noun 1
3 alaturkası Noun 1
3 hayrete_düşen Adj 1
3 edebiyat'ta Noun 1
3 kalınlaştırılmış Adj 1
3 mutsuz_olduklarını Noun 1
3 oturtamadık Verb 1
3 rengi Noun 6
3 sirkeyi Noun 1
3 sınıfça Noun 1
3 ören Adj 1
3 yerlerinde Noun 1
3 kitapları Noun 1
3 dalgın Adj 1
3 önlüğündeki Adj 1
3 acımamışlar Verb 1
3 acil Adj 1
3 azalmış Adj 1
3 ekmez Verb 2
3 türünün Noun 1
3 getirmişler Verb 1
3 barınağı Noun 5
3 azaltmıştı Verb 1
3 antik Adj 2
3 mersi Noun 1
3 gelişmeleri Noun 2
3 gecikmeyle Noun 1
3 türklerin Noun 2
3 bulamaması Noun 1
3 arapça Noun 1
3 evliliği Noun 1
3 torbaya Noun 1
3 değiştiğini Noun 1
3 nitelendirebileceğimiz Adj 1
3 oluşturulsun Verb 1
3 küçücük Adj 3
3 dayanılmaz Adj 1
3 meslek Noun 3
3 yollarda Noun 1
3 sesler Noun 2
3 indiği Noun 1
3 kdv Noun 2
3 öksürüklü Adj 1
3 yapmıştık Verb 1
3 erkekle Noun 1
3 vatandaşlarına Noun 1
3 kızım Noun 1
3 baştan Noun 1
3 sığamadı Verb 1
3 ufaklığı Noun 2
3 hissettiği Adj 1
3 işi Noun 5
3 gidiyorum Verb 3
3 uyanır Adj 1
3 heyeti Noun 4
3 protesto Noun 1
3 düşürüyor Verb 1
3 görmeyin Verb 1
3 sektörde Noun 1
3 diğerlerinden Noun 1
3 yoğunlaşan Adj 1
3 oluşmuş Adj 1
3 benimle Pron 7
3 rezil_olacak Verb 1
3 önerisine Noun 1
3 üslubu Noun 1
3 ikimiz Noun 1
3 gulo_gulo Noun 1
3 kızlarının Noun 1
3 verirdi Verb 1
3 kahve'ye Noun 2
3 sıcakkanlı Adj 1
3 yatıştırılmaya Noun 1
3 taşhan'ın Noun 11
3 gölü'nün Noun 1
3 çocuğuna Noun 1
3 akıl Noun 1
3 uzamamıştı Verb 1
3 ilginçtir Verb 1
3 mutfakta Noun 1
3 yaşamak Noun 5
3 çıplak Adj 4
3 yoksunluk Noun 1
3 eşittir Verb 1
3 geç_kalırsak Verb 1
3 kalkmış Verb 2
3 başvurmaya Noun 1
3 yalnızlığımda Noun 1
3 giderim Verb 1
3 ölümleri Noun 1
3 inanmayan Adj 1
3 müzikal Noun 1
3 anlatıyor Verb 4
3 umudu Noun 1
3 ocakları Noun 1
3 gururlu Adj 2
3 gösteriyor Verb 5
3 gazetesi Noun 2
3 kadarcık Noun 1
3 kente Noun 2
3 alıntı Noun 1
3 terör Noun 2
3 kar Noun 3
3 ili Noun 1
3 i̇ş Noun 7
3 konudan Noun 1
3 önümüzde Noun 2
3 iradesinin Noun 1
3 yazılarından Noun 1
3 yazdıkları Noun 1
3 üzmekten Noun 1
3 alman Noun 3
3 koridoru Noun 1
3 doğruyu_bulmuş Adj 1
3 akrabaları Noun 1
3 yüzde_yirmibeş'lik Adj 1
3 yeteneğin Noun 1
3 nurullah_eren Noun 1
3 sofra Noun 3
3 vurmaya Noun 1
3 okuyan Adj 1
3 kopuşu Noun 1
3 yorumunu Noun 1
3 başlığı Noun 3
3 lise Noun 3
3 ölmüyordum Verb 1
3 vermiyordu Verb 1
3 bağlansa Verb 2
3 öznel Adj 2
3 uykudan_önce Postp 1
3 aylar Noun 1
3 sekizonikibindokuzyuzdoksansekiz Num 2
3 öneriyorum Verb 1
3 - Punc 127
3 bir_an Noun 4
3 olumlu Adj 4
3 durun Verb 2
3 isteklerime Noun 1
3 bunlardan Pron 3
3 konuştu Verb 14
3 sundu Verb 1
3 stoku Noun 1
3 yapayım Verb 2
3 babamın Noun 4
3 ihracatın Noun 2
3 indiler Verb 1
3 araç Noun 3
3 teknolojiye Noun 1
3 çıkarılacağı Noun 1
3 toplantılarımızın Noun 1
3 dehşetli Adj 1
3 farklılık Noun 2
3 fizik Noun 2
3 yüzlerine Noun 1
3 masamıza Noun 1
3 hazırdır Verb 1
3 kullanıyor Verb 3
3 okumalarını Noun 1
3 yapacaktı Verb 1
3 hayatla Noun 1
3 sorunu Noun 4
3 grup Noun 5
3 bıraktığında Noun 1
3 ulaşmak Noun 4
3 sembolize_ediyordu Verb 1
3 tamam Verb 1
3 çevirip Adv 2
3 yaradılışın Noun 1
3 gideriz Verb 1
3 kaldırttığı Adj 1
3 sofraların Noun 1
3 farklılıkları Noun 1
3 oyunuyla Noun 1
3 başlamış_olmalıydı Verb 1
3 yürüdü Verb 1
3 doğan_güreş Noun 1
3 ayhan'a Noun 1
3 karıştırdı Verb 1
3 iddialılar Verb 1
3 yerinde Noun 5
3 saplantısına Noun 1
3 icazetle Noun 1
3 olsa Verb 14
3 oyun Noun 4
3 balıkçılık Adj 1
3 sandıklarından Noun 1
3 ağlaması Noun 1
3 bin Num 15
3 orada Noun 15
3 konuştuğunuzu Noun 1
3 i̇şinden Noun 1
3 mühendis Noun 1
3 yiyorlar Verb 2
3 çevirdi Verb 2
3 konyakımsı Adj 1
3 etmeyin Verb 1
3 kaydederek Adv 2
3 ile Postp 17
3 yani Conj 24
3 adım Noun 6
3 satırlar Noun 1
3 tercih_ederdi Verb 1
3 gözümü Noun 1
3 dinledim Verb 2
3 kamuya Noun 1
3 sürecin Noun 5
3 inen Adj 1
3 oturduğumu Noun 1
3 aldırmıyorlar Verb 1
3 satışıdır Verb 1
3 unsurlarından Noun 2
3 sürekli Adv 10
3 detaylı Adj 1
3 konumunu Noun 1
3 bulsun Verb 1
3 bekledik Verb 1
3 konutlarını Noun 1
3 balta Noun 1
3 yüzyıllara Noun 1
3 sahip_olacağı Adj 1
3 veremiyor Verb 1
3 çevresi Noun 1
3 118'lere Noun 1
3 pasaport_şube_müdürlüğü'nde Noun 1
3 döven Adj 2
3 ihtiyacım_olduğu Adj 1
3 ölüm_kalım Noun 1
3 ayhancım Noun 1
3 okudu Verb 4
3 platform_kozanoğlu_club'a Noun 1
3 planının Noun 1
3 işçiliğinden Noun 1
3 karanfil Noun 1
3 üye_olması Noun 1
3 seçildikten Noun 1
3 alanını Noun 3
3 yüklemekten Noun 1
3 uyan Adj 1
3 olduğu Noun 18
3 lastik Adj 3
3 işçiler Noun 1
3 askeri Adj 21
3 alıştırmaya Noun 1
3 kadınları Noun 3
3 silahlı_kuvvetler Noun 1
3 sonraki Adj 3
3 önemini Noun 1
3 elatmalara Noun 1
3 karşılaştıranlar Noun 1
3 istiyorsun Verb 1
3 attılar Verb 1
3 yüzdoksanbeş Num 1
3 yasaklamaları Noun 1
3 mahkum Adj 1
3 irak Noun 12
3 oyarak Adv 1
3 kurşun Noun 1
3 ses_getirdiğini Noun 1
3 unutmadım Verb 1
3 hissediyorduk Verb 1
3 canım Noun 7
3 içerdi Verb 1
3 neredeydi Verb 1
3 oturmayacak Adj 1
3 sağlıkta_dönüşüm_projesi'ne Noun 1
3 vazgeçilmeli Verb 1
3 rahatla Verb 1
3 yokluyor Verb 1
3 şimdi Adv 53
3 birbirleriyle Pron 2
3 işadamlarının Noun 1
3 yetmediği Adj 1
3 fısıldadı Verb 2
3 süs Noun 1
3 kararıyla Noun 1
3 ulaştığı Adj 2
3 ilkelerin Noun 1
3 kepenkleri Noun 1
3 can_atıyor Verb 1
3 bütçesinde Noun 1
3 dönem Noun 1
3 babayla Noun 1
3 evlerini Noun 2
3 friedrich_engels Noun 1
3 gelmesini Noun 1
3 olumsuz Adj 3
3 romanı Noun 2
3 gidersin Verb 1
3 yok Interj 2
3 dağıldılar Verb 1
3 eğilip Adv 1
3 tartışıyoruz Verb 1
3 kirpikleri Noun 1
3 yanlarına Noun 1
3 haberdar_olduğu Adj 1
3 yıllardır Verb 3
3 alınıyor Verb 3
3 hablemitoğlu'na Noun 1
3 çalıştığımız Adj 1
3 örtmüştü Verb 1
3 yansımasını Noun 1
3 arkamda Noun 3
3 evenlerin Noun 5
3 başkalarına Noun 3
3 dilim Noun 4
3 ecedir Verb 1
3 aygıtlara Noun 1
3 yiyeceğiz Verb 2
3 arkadaşım Noun 2
3 mükelleflerin Noun 2
3 pembemsi Adj 1
3 keşfetmeyi Noun 1
3 dalaman Noun 1
3 bodrum Noun 3
3 hürriyeti Noun 1
3 yattı Verb 1
3 ablasından Noun 1
3 ankara_hukuk_fakültesi'nde Noun 1
3 şimşek Noun 2
3 saka Noun 3
3 ekibi Noun 1
3 birleşimi Noun 1
3 alkolikler Noun 1
3 davranış Noun 1
3 çektiğim Adj 1
3 kervanı Noun 2
3 yuvarlayabilsem Verb 1
3 güzelim Adj 1
3 kalite Adj 1
3 i̇lhami'ye Noun 1
3 yazıp Adv 1
3 anaların Noun 1
3 katılır Verb 1
3 yirmisekiz_ocak_ikibindört Noun 1
3 bildirisinden Noun 1
3 bulur Verb 2
3 yüzüne Noun 2
3 depoların Noun 1
3 uçup Adv 2
3 prensesim Noun 1
3 genelevler Noun 2
3 patlayan Adj 1
3 yerinize Noun 1
3 makamında Noun 1
3 yattığı Adj 1
3 mekansal Adj 1
3 uğurlayayım Verb 1
3 ormanlarına Noun 1
3 ayrılıyorum Verb 1
3 bilsem Verb 1
3 bıçaklarla Noun 1
3 dinliyordu Verb 1
3 yaşarken Adv 1
3 belgelerden Noun 1
3 baksam Verb 2
3 söz_etmeksizin Adv 2
3 çizerek Adv 2
3 eğer Postp 1
3 dolandırıcılık Noun 2
3 köpekte Noun 1
3 başım Noun 2
3 anlamına_gelecek Verb 1
3 kazanacağını Noun 1
3 koca Adj 2
3 barın Noun 1
3 yemiş Verb 1
3 koltuğu Noun 1
3 ritüel Noun 1
3 biçimlendirmek Noun 2
3 gerçeğe Noun 1
3 beğendiği Adj 1
3 iyisin Verb 2
3 herbiri Pron 1
3 yerine_getirdim Verb 1
3 aşık_olması Noun 1
3 kaçamaklardan Noun 1
3 adalarına Noun 1
3 adamları Noun 4
3 öğesiyle Noun 1
3 züppeler Noun 1
3 büyüyen Adj 1
3 abi Noun 4
3 sömürgecilikle Noun 1
3 yeter Adj 3
3 arkasından Noun 3
3 dizgenin Noun 1
3 bağımlılık Noun 2
3 gerektiğinde Noun 1
3 dergimizdeki Adj 1
3 çağırır Verb 1
3 bulmak Noun 4
3 politikasında Noun 1
3 söz_etti Verb 2
3 bakanı Noun 2
3 adamı Noun 3
3 uluslar Noun 1
3 kabul_ettirmişlerdir Verb 1
3 düştü Verb 3
3 umut Noun 2
3 gençlik Noun 1
3 içeriden Noun 1
3 tanıyordum Verb 1
3 üzmeden Adv 1
3 güncelliği Noun 1
3 venüs Noun 1
3 yansıyan Adj 1
3 balerinler Noun 1
3 yapacağımı Noun 1
3 diyeceğin Noun 1
3 notlar Noun 1
3 beklentisini Noun 1
3 konan Adj 2
3 üretilen Adj 1
3 kat Noun 2
3 biçimli Adj 2
3 içilen Adj 1
3 terk_etmemi Noun 1
3 kadınlık Noun 1
3 kaldırılmaksızın Adv 1
3 yükseltti Verb 2
3 dönmüş Verb 1
3 mazereti Noun 1
3 komutanlardan Noun 1
3 usulca Adv 1
3 hiçi Noun 1
3 kanalların Noun 1
3 usa Noun 3
3 gelse Verb 1
3 bulanık Adj 1
3 terkedip Adv 1
3 görevli Adj 2
3 istemeyerek Adv 1
3 alırım Verb 1
3 annenizin Noun 1
3 çarpışan Adj 1
3 -_milliyetçi Noun 1
3 60'lı Adj 1
3 gerçekleştirmeyen Adj 1
3 evinize Noun 1
3 girmeden Adv 2
3 eğitimse Verb 1
3 karşıtları Noun 1
3 öğreniyorsunuz Verb 1
3 heyecanla Noun 3
3 sınıfta Noun 4
3 başkanlığa Noun 1
3 bakmaması Noun 1
3 pazartesi Noun 1
3 toplayıcılığı Noun 1
3 satır Noun 1
3 etiketli Adj 1
3 erken Verb 1
3 araştırmada Noun 1
3 neler Pron 5
3 hukuki Adj 3
3 rakıyla Noun 3
3 patlıcanın Noun 4
3 tutuklama Noun 1
3 intiharı Noun 1
3 kaldırır Adj 1
3 milli_eğitim_bakanı_erkan_mumcu'yla Noun 1
3 baskısına Noun 1
3 dişleri Noun 1
3 girerken Adv 2
3 bayındır_sokak'taki Adj 1
3 yüzeyi Noun 1
3 ver Verb 1
3 kişiden Noun 2
3 benden Pron 8
3 sanılıyordu Verb 1
3 arzusunun Noun 1
3 yolcular Noun 2
3 sürdü Verb 1
3 anlam Noun 2
3 şartına Noun 1
3 tenekesi Noun 1
3 eşyanın Noun 2
3 kuzu Noun 1
3 bakmalarını Noun 1
3 açlığıyla Noun 1
3 terliklerin Noun 1
3 doldurup Adv 1
3 kitaplarım Noun 1
3 hazırlanıyor Verb 2
3 kamara Noun 2
3 yediremediklerinden Noun 1
3 kayıt Noun 3
3 iri Adj 2
3 gerekli Noun 2
3 aşılan Adj 1
3 nöbetçimiz Noun 1
3 .. Punc 18
3 i̇lkin Adv 1
3 dokundu Verb 2
3 nerdeydin Verb 3
3 kızakta Noun 1
3 oturdum Verb 3
3 otuz'un Noun 1
3 halam Noun 1
3 tartışmayalım Verb 1
3 dolandırıcılıktan Noun 1
3 okurken Adv 1
3 doğruların Noun 1
3 birliklere Noun 1
3 kısmını Noun 3
3 veteriner Noun 1
3 giyinmiş Verb 1
3 dallardan Noun 1
3 sıcaklık Noun 2
3 yılında Noun 5
3 misin Ques 5
3 merhaba Noun 2
3 çakıldığını Noun 1
3 karar_vermişlerdi Verb 1
3 yeryüzünün Noun 1
3 tasannu Noun 1
3 serpilir Verb 1
3 dallarında Noun 1
3 sayısında Noun 2
3 yakaladık Verb 1
3 başının Noun 2
3 bakıyorlardı Verb 1
3 denmezdi Verb 1
3 bekardı Verb 1
3 gezer Verb 1
3 aylık Noun 3
3 yola_çıkanlar Noun 1
3 çözmek Noun 1
3 cari Adj 3
3 teyzecim Noun 1
3 uyuşturucuyla Noun 1
3 lefkoşa_milletvekili Noun 1
3 mantıklarını Noun 1
3 borcu Noun 1
3 dolu Adj 6
3 karar Noun 11
3 rahatsız_ediyorsun Verb 1
3 yürüme Noun 1
3 aralık_2002'de Noun 1
3 harcıyoruz Verb 1
3 açılır Verb 2
3 mezeleri Noun 1
3 harun_yahya Noun 2
3 yanlıştı Verb 1
3 patırtılar Noun 1
3 işadamlarına Noun 1
3 açıp Adv 1
3 üzdü Verb 1
3 eğlenmek Noun 1
3 yayınlandığından Noun 1
3 taşıdığım Adj 1
3 kürt Noun 1
3 savaşım Noun 2
3 ne_olur Verb 2
3 arctos Noun 1
3 cinayetler Noun 1
3 düşünüyordum Verb 2
3 barıştıracak Adj 1
3 çoğu Pron 1
3 olmuş Verb 15
3 viskilerine Noun 1
3 tastamam Adj 1
3 şüpheli Adj 1
3 kaçınılmazlıktır Verb 1
3 güvenerek Adv 1
3 yerime Noun 1
3 oğlan Noun 4
3 kabilelerinin Noun 1
3 teorileriyle Noun 1
3 dahi Adj 2
3 istese Verb 2
3 ar Noun 1
3 beklenebilir Verb 1
3 döveceğiz Verb 1
3 alkol Noun 1
3 okul Noun 3
3 durdu Verb 5
3 getireceğini Noun 1
3 çarptığına Noun 1
3 bozayılar Noun 1
3 sevdi Verb 2
3 fırladık Verb 1
3 maddesini Noun 2
3 ölüm Noun 6
3 ot Noun 2
3 söylediklerinizi Noun 1
3 kalkıp Adv 7
3 ararsan Verb 1
3 kuruluşları Noun 2
3 kızağı Noun 1
3 boşalan Adj 1
3 partiler Noun 3
3 kurtulamamışım Verb 1
3 ruhum_kalbim Noun 1
3 adını Noun 5
3 bildiren Adj 3
3 geliyor Verb 13
3 çalışanlarının Noun 2
3 bundan_sonra Postp 1
3 bulamazsın Verb 1
3 yıkıldım Verb 1
3 kararlıyım Verb 1
3 bakar Verb 1
3 yapacağının Noun 1
3 why_we_buy Verb 1
3 nefes_nefese Noun 2
3 sınavı Noun 1
3 sandım Verb 4
3 kutuların Noun 1
3 sağduyumuz Noun 1
3 misafire Noun 1
3 başları Noun 2
3 washington Noun 1
3 üstlenmiş Verb 1
3 söylenemezdi Verb 1
3 yaşadığını Noun 1
3 iyileşme Noun 1
3 köylüler Noun 1
3 ortadan_kaldırdığınızda Noun 1
3 eroini Noun 4
3 ortalık Noun 3
3 grossman Noun 1
3 semra_hanım Noun 1
3 katlı Adj 2
3 bitermiş Verb 1
3 bazı Det 1
3 öğle Noun 5
3 sohbet_eden Adj 1
3 plaklardaki Adj 1
3 sevk_etmeye Noun 1
3 şuramda Noun 1
3 meşruiyet Noun 1
3 kemendini Noun 1
3 aldığını Noun 3
3 aşklarının Noun 1
3 bahçelerini Noun 1
3 geçti Verb 9
3 ab Noun 7
3 geçmişten Noun 2
3 zehir_etti Verb 1
3 milli_görüş_tabanına Noun 1
3 maiyetinde Noun 1
3 değiniyor Verb 1
3 kara_havacılık_okulu'na Noun 1
3 yerli_yerinde Adj 1
3 içme Noun 1
3 görevliye Noun 1
3 yanlışı Noun 1
3 bağımlılıktan Noun 1
3 geçişinden Noun 1
3 aniden Adv 2
3 yaşlarındaki Adj 1
3 etmedik Verb 1
3 kimi Pron 8
3 sektörü Noun 1
3 belirtisi Noun 1
3 grup_başkanvekili Noun 1
3 türkçe'ye Noun 2
3 boğduğunu Noun 1
3 işitiyorsunuz Verb 1
3 göztepe Noun 1
3 odalardan Noun 1
3 farkındalığı Noun 1
3 maddeyi Noun 2
3 kabul_etmek Noun 1
3 yolu Noun 8
3 dönüşen Adj 4
3 kıbrıs'ın Noun 2
3 geçmesine Noun 1
3 doğu_perinçek Noun 1
3 korunaklı Adj 1
3 hıçkırıklarımın Noun 1
3 teorem Noun 1
3 hareketten Noun 1
3 i̇nsanoğlunun Noun 1
3 anlatacağım Verb 1
3 ifade_ettiklerini Noun 1
3 gene Adv 15
3 taş_çıkartırdı Verb 1
3 hepsinin Pron 5
3 hazırlandıklarını Noun 1
3 ışıklar Noun 2
3 dünyasında Noun 4
3 artıyordu Verb 1
3 kuruştu Verb 1
3 içimi Noun 1
3 giymiş Verb 1
3 yitirmiş Adj 1
3 otuz'dan Noun 1
3 başlangıcında Noun 1
3 yeni Adj 64
3 varolan Adj 1
3 zammında Noun 1
3 artırdım Verb 1
3 oysa Adv 5
3 ilgililer Noun 1
3 çağımızdaki Adj 1
3 recep_tayyip_erdoğan Noun 1
3 birime Noun 1
3 delisi Noun 1
3 bekledi Verb 2
3 varılıyor Verb 1
3 pazarlarımızı Noun 1
3 kaşının Noun 1
3 anlatıyoruz Verb 1
3 uzaklaştıkça Adv 1
3 jandarmalığına Noun 2
3 yalnızlıklarla Noun 1
3 takıldı Verb 1
3 kredi Noun 9
3 cezaevine Noun 1
3 savunan Adj 1
3 20'li_30'lu Noun 1
3 şişesiyle Noun 1
3 dörtyüzotuz Num 1
3 ikliminin Noun 1
3 anlayacaklarından Noun 1
3 kırkyedi Noun 1
3 meteorolojik Adj 2
3 uyandırmaya Noun 1
3 aman Interj 3
3 politikacıların Noun 2
3 dalgalarına Noun 1
3 becerdi Verb 1
3 i̇sim Noun 2
3 tanımlayan Adj 2
3 boşlukları Noun 1
3 denebilir Verb 2
3 davetin Noun 1
3 esmeye Noun 1
3 babasına Noun 3
3 ailelerden Noun 1
3 konuşmuş Verb 1
3 güvence Noun 1
3 amacı Noun 2
3 antibiyotiklerin Noun 1
3 gözlemlerden Noun 1
3 kulübeyi Noun 1
3 davalık Adj 1
3 ani Adj 1
3 tuttuğu Adj 2
3 makineyi Noun 1
3 sahte Adj 1
3 yapamazlar Verb 1
3 tövbe Noun 1
3 ettirildiğini Noun 1
3 karışlık Adj 1
3 göz_kamaştırıyordu Verb 1
3 yukarıda Noun 5
3 kktc'de Noun 4
3 tsmf_avrupa_birinci_bölge_direktörü_bddk Noun 1
3 geçtikçe Adv 1
3 fırlamış Verb 1
3 izledi Verb 2
3 gireceksiniz Verb 1
3 birinden Pron 1
3 kattığı Adj 1
3 kara Noun 1
3 oynuyordu Verb 1
3 çıktığına Noun 1
3 algısal Adj 1
3 bekleyecek Adj 1
3 yaşadıklarımdan Noun 1
3 esti Verb 1
3 girelim Verb 2
3 istemiştim Verb 1
3 devlet_teliorman'ın Noun 1
3 yapamıyorsun Verb 1
3 ötesine Noun 1
3 nöbetçiydi Verb 1
3 külah Noun 1
3 anlatacağım Adj 1
3 öykücükler Noun 1
3 bıngıl_bıngıl Adj 1
3 lirası Noun 1
3 nesnelerden Noun 1
3 yönetimine Noun 1
3 bir Adv 27
3 denetim Noun 1
3 dönüşüyordu Verb 2
3 değişiklikleri Noun 1
3 kullanırken Adv 1
3 temellere Noun 1
3 bulamıyorlardı Verb 1
3 açmazlarla Noun 1
3 sayfalarında Noun 1
3 evenleri Noun 1
3 esniyorlardı Verb 1
3 dokunsam Verb 1
3 barınaktır Verb 1
3 kıçüstü Noun 1
3 olmamıştı Verb 1
3 alaycı Adj 1
3 gazeteciler Noun 1
3 öğreniyorlar Verb 1
3 üye_olmaları Noun 1
3 vurguladı Verb 2
3 meçhul Adj 1
3 takım Noun 4
3 adıydı Verb 1
3 uzattığı Adj 1
3 deponun Noun 1
3 hareketleri Noun 1
3 yağmurun Noun 1
3 sakallı Adj 1
3 yönü Noun 2
3 krizleri Noun 1
3 keşiflere Noun 1
3 ekledim Verb 1
3 başkente Noun 1
3 kullanılmaz Verb 1
3 kanunu'nda Noun 1
3 kazanın Noun 3
3 buldum Verb 3
3 tartışmalı Noun 1
3 oturuşta Noun 1
3 korucu Noun 2
3 hostes Noun 3
3 bilmem Verb 4
3 sefahat Noun 1
3 vermişlerdi Verb 1
3 yönlerini Noun 3
3 topuklu Adj 3
3 olaylar Noun 1
3 aynı Adj 56
3 ailesinden Noun 2
3 gömlek Noun 2
3 evlenirse Verb 1
3 başkan Noun 6
3 çok Adv 126
3 bölümünü Noun 4
3 pas_geçti Verb 1
3 yollanmıştı Verb 1
3 ulaşmanın Noun 2
3 kapılalı Adv 1
3 bardak Noun 6
3 kartların Noun 1
3 başkaları Noun 3
3 birşeyler Noun 1
3 öğrenecek Verb 1
3 gezdim Verb 1
3 fantezilerini Noun 1
3 giydiği Adj 1
3 sürdürülen Adj 1
3 çiziyor Verb 1
3 yetindi Verb 1
3 hısım_akraba Noun 1
3 maruz_kalırsa Verb 1
3 kucağına Noun 1
3 herkese Noun 2
3 solunda Noun 1
3 yöneliyor Verb 2
3 gayet Adv 1
3 iz Noun 2
3 kitle Noun 1
3 yelek Noun 1
3 askısını Noun 1
3 eline_sağlık Noun 1
3 ifadesini Noun 1
3 uykumu Noun 1
3 oturdukları Adj 1
3 müvekkilimin Noun 1
3 ' Punc 53
3 mançu_tunguz Noun 1
3 yenilgiye Noun 1
3 canlıların Noun 1
3 haftayı Noun 1
3 toplamış Verb 1
3 yirmi_ocak Noun 1
3 açmaz Adj 1
3 yanaklarını Noun 1
3 süt Noun 3
3 ününü Noun 1
3 yerleştiler Verb 1
3 hatlarıyla Noun 1
3 bakınca Adv 2
3 köpeğiydi Verb 1
3 verilir Verb 1
3 doldurulmamış_olan Adj 1
3 rahatça Adv 5
3 katana Noun 14
3 barışı Noun 3
